rating,review
__label__4 ,jeg har været godt tilfreds med ansøgningsprocessen og udbetalingen skete meget hurtigttak! jeg synes dogat renterne er alt for dyre (25%) i hvert fald i mit tilfælde.
__label__5 ,i er bare lidt for dyre for en fattig pensionist som mig men det er godt at jeg kan få strukke min.gæld over nogle måneder
__label__5 ,genialtlet at brugemen lidt dyrt
__label__1 ,jeg har gæld ja men har siden 2002haft danske bank og første gang jeg er endt i et overtræk på min visa konto på ca 1500 lukker de mit kort og stadig lader folk hæve på min konto.... på grund af en fejl hvor jeg har været på en dating sideog jeg kontaktede sel min bank rådgiver men de kunne ikke lukke åbenbart og gi mig et beviliget overtræk til den 01.02.2022og i ville ikke låne mig sølle 30.000 selv om jeg har orden i min økonomi og har 2 biler til salg til ca 90.000 kr
__label__5 ,forløbet har været ganske fremragendeog ferratum bank kan varmt anbefales herfra.
__label__5 ,fantastisk god og reel bank. 5 stjerner fra mig.
__label__5 ,super fleksibel bank og utrolig kundevenlig samt lynhurtig udbetaling
__label__4 ,god servicedog er renterne lidt i den høje endeellers nemt og problemfrit
__label__5 ,god service og hurtig svar
__label__5 ,det er var fantastisk oplevelse !!jeg fik alt detjeg havde brug i så kort tid.det kan ikke være bedre !!tak for det !!
__label__5 ,hurtig ekspedering! nemmeste ever!
__label__5 , super god service .. er meget tilfreds med forretning bedste sted jeg har lånt penge fra indtil videre .
__label__5 ,super nemt og overskueligt
__label__5 ,fik en behaglig samtale og fik løst problemet
__label__4 ,jeg er alt i alt rigtig tilfredsfor det fungerede bare og 10 min senere stod pengene på kontoen jeg kan varmt anbefale ferratum til andre
__label__5 ,det fungere som det skalog det ernemt at indbetaleså man hurtigt kan lave ekstra indbetalinger og dermed sparer renter og renters renter. har betalt næsten alle 20.000 kr. tilbage siden juliog det er kun fordi det hele er så simpelt når der skal indbetalesog fordi man kan med kort. og kundeservice er høflige og hjælpsommeogså selvom det drejer sig om ting de ikke lige tjener penge på.
__label__1 ,meget meget høj rente . aldrig mere 
__label__5 ,meget god og hurtig. mange tak
__label__5 ,super nemtog fair betingelserne
__label__5 ,nøgtern og enkel bankløsning - til passende pris. anbefales gerne
__label__5 ,super nemt og lige til.når man virkelig behøver det.tak for det...
__label__5 ,rigtig godt og professionelt. god service.
__label__5 ,rigtig god bank og pengene udbetalt på samme dag
__label__5 ,hurtig svar og pengene på kontoen i løbet af et kvarter og god service
__label__5 ,hurtig svar og pengene var på kontoen efter 15 min
__label__5 ,det går hurtigt og nemtpengene står på ens egen konto sammen dagmit lån var på min konto efter 25. min!! det kan ikke gøres hurtigere!!kan kun varmt anbefales
__label__5 ,det gik utrolig nemt og det er let at bruge og få overblik over sit lån
__label__5 ,super hurtigt behandlingog god information og nem betjening af hjemmeside
__label__1 ,på et tidspunkt i november måned stod jeg i en pludselig kneben økonomisk situation manglede sølle 3000 d.kr.og henvendte mig til ferratum bank og ansøgte om et beløb af denne størrelse - efter behandling af ansøgningen blev jeg godkendt var pengen hurtigt indsat på min konto. - jeg tilbagebetalte det forlangt beløb 200 d.kr. til rette konto ved overførsel - efter nogen tid modtog jeg 2 rykkerhvor fb påstår de ikke har modtaget det aftalt afdrags-beløb- fb kan ikke finde tilbagebetalingen i deres 'noget besynderlige tilbagebetalingsstemsom for mig og min bankrådgiver i (al bank) finder yderst besynderlig (minder om en labyrint) jeg har tilbudt ferratum bank at indfri hovedstolen snarrest - jeg forventer at høre fra ferratum bank - beløbet200 d.kr er indbetalt 8. december 2021 til rette konto nr(kan dokumenteres) forventer at få skriftlig svar fra ferratum bank - mit forslag er at man indføre et system som låntagerne forstår. forslag: indbetalings kort til e-boks eller privat email -venlig hilsen ernst lykkegaard
__label__5 ,hurtigt og effektivt behandling.
__label__1 ,du kan desværre ikke længere låne pengehvis du har en fællesskabskontoogså selvom du har været kunde i lang tid det er ikke ligefrem kundevenligt.
__label__5 ,super hurti i nemt. super super super
__label__5 ,nemt at søge og der skal ikke så mange klik til at du får svar på om du kan låne.
__label__5 ,super godnem og hurtigt betjening samt overskuelige papirer
__label__5 ,hurtigt - godt og nemt.
__label__5 ,hurtig og nem ansøgning !!god jul !!
__label__5 ,i har fået 5 stjerner fordi vores lån gik så hurtigt igennem og meget hurtig udbetaling
__label__4 ,jeg er tilfreds med hurtigheden af overførsel af beløb til udbetaling når bevilget. dog kunne de godt hæve beløbet uden næsten at skulle betale lån helt ud.glædelig jul:)
__label__5 ,en let og enkel låneansøgning. nem at bruge når man ikke har meget netafaring.nem og god
__label__5 ,det var dejlig nemt at ansøge om lånet og pengene stod på min konto med det samme så jeg kan stærkt anbefale ferratum bank hvis du skal optage et lån.
__label__5 ,god servicenemt og hurtigt.
__label__4 ,det er nemt og hurtigt
__label__5 ,jeg er ovenud tilfredshavde pengene på kontoen med det samme 
__label__5 ,nem at søgehurtig penge på kontoen.
__label__5 ,rigtig god bankgod service hurtigt udbetaling.
__label__5 ,rigtig god service og altid klar til at hjælpe 
__label__5 ,meget overskueligt. og lige til at gå til. hurtigt svar.
__label__5 ,hurtigt svar. hurtig penge på kontoen mega tilfreds
__label__5 ,det er skønt at låne hos jer det gik hurtigt alt sammen i orden 
__label__5 ,rolig og ligetilansøgningen var ikke svær og svaret kom ret hurtigt..... det samme gjorde pengene.og det uden at det er til ågerpriser!
__label__4 ,holdte hvad de sagdehurtig og effektivt 
__label__5 ,hurtige svare
__label__5 ,super ok. mange tak
__label__5 ,fantastisk servicelet og tilgængeligt koncept !mine varmeste anbefalinger.
__label__3 ,jeg blev godkendt fredag kl. 09:13 og her lørdag er der stadig ingen penge.noget må være helt galt
__label__4 ,det kører som det skal men der er ikke mugligheder nok nå man skal forklare sin situation og hvad pengene skal bruges til god jul til jer
__label__5 ,hurtig behandling af ansøgningenog ikke mindst venlig betjening ved efterfølgende telefon-samtale.
__label__5 ,fantastisk hurtig service!varme anbefales!
__label__5 ,uden tvivle det er nemt og hurigt
__label__5 ,god service. hurtig udbetaling.
__label__5 ,nem og hurtig bankservicen er i top
__label__5 ,super nemt og yderst hjælpsom hos service
__label__5 ,total hurtig og professionelt hjælp i en nød sitiuation. og ualmindeligt hurtigt.
__label__5 ,meget enkelt og lyn hurtigt svar - og penge. meget smart måde grafikken er lavet påog fedt at den laves som en kredit...der er ikke noget man kan blive i tvivl omog der er ikke skjult noget (med småt)...
__label__2 ,hej det er ikke okay at man sender et rykkergebyr til folk idag når vi har indbetalt den 30 men da der går nogle dage og vi kan se der står de stadig ikke er kommet ind kontakter vi dem og spørg hvorfor de ikke har registreret det og vi får så oplyst at hvis vi har brugt det samme reference nr kan vi ikke bruge det men det har vi gjort altid og får nu ligepludselig oplyst at det kan vi ikke hvilket vi ikke vidste noget om og at vi ikke vil få noget gebyr og vi måtte vente til vi fik pengene retur hvilket er sket idag samme dag som de alligevel sender rykkergebyr som de sagde vi ikke vil få da de jo har fejlet det er ikke ok er ellers glad for ferratum og ked af jeg må lave denne ikke gode anmeldelse men da det er dem der åbenbart har foretaget ændring uden man ved det som kunde så er det ikke ok
__label__5 ,effektiv service
__label__5 ,fantastisk. hurtigt tilbage melding med svar .
__label__5 ,det var dejligt nem låne penge gennem jer pengene blev betalt med det samma
__label__5 ,da i andre banker sagde nej stod ferratum bank der for mig.mange tak for den tillid i har vist mig.det er kanon.
__label__5 ,super - hurtigt og lækker service hele vejen igennem
__label__5 ,super god service og troværdig
__label__4 ,jeg er meget tilfreds med min behandling af sagen om låndetoverraskede mig at det gik så hurtig fra jeg søgte til pengene var på kontoen. kan varmt anbefale jer.
__label__5 ,fin og hurtig behandling af ansøgning - kan varmt anbefales…
__label__5 ,mange tak til ferratum bank fordi de bevilgede mig et lån andre steder bliver man bare fejet af vejen på trods af lidt gæld selvom man hverken er registreret nogen steder som dårlig betaler og har et rådighedsbeløbe 2 voksne på over 20000kr om måned når alt er betalt og opfylder alle kriterier speciel tak til de yderst kompetente søde damer som tager telefonen der inde jeanett maria og nadia de hjælper og ved hvad detdrejer sig om dygtig personale de har ferratum bank dem skal de være stolte af 
__label__5 ,super lækker service ... virker bareog pengene kommer hurtigt 
__label__5 ,meget nemt at låne penge
__label__5 ,rigtig god service og hurtig udbetaling af pengene og god kundeservice
__label__5 ,super god behandling
__label__5 ,det er et godt sted låne penge er meget glad
__label__5 ,rigtig god service. hurtig tilbage melding så super tilfreds 
__label__4 ,hurtigt behandling af ansøgningen. jeg kan anbefaleferratum
__label__5 ,okayjeg fik mine penge meget hurtigt
__label__4 ,hurtig ekspedition. kunne dog ikke godkende fra android telefonmen måtte til pc
__label__4 ,nemthurtigt - og i et sprogder er til at forstå.ville dog være rart med en specifik tidsangivelse for udbetaling fremfor inden kort tidsom kan opfattes meget forskelligt afhængigt af personensom læser det 
__label__5 ,fremragende pengne var inde på 5min
__label__5 ,tilfreds. pengene er kommet.
__label__3 ,jeg vil give 3 stjerner bare for at give nogenmen det virker ikke særlig oplysende og troværdigt med så voldsom karakter en bank harjeg er tilfreds ellers og normalt havde jeg bare givet 750 i udtrækningsgebyr som jeg skal ved 6000 kr udbetalt... men sidste gang jeg lånte var det næsten umuligt at komme ud af gældenjeg måtte betale voldsomt store beløb før jeg kom ud af det... jeg ville ellers godt have haft lidt monetos her i den kolde tid men jeg tør ikkeog alle de 5 stjerner gør mig utryg.. nå hvor længe mon min anmeldelse får lov at stå..!? 
__label__5 ,det tog ikke lang tid fra at ansøgte om et lån før jeg fik svar og havde pengene i min hånd. 
__label__5 ,god service og det er lige til at gå til..
__label__5 ,virkelig nemt at ansøge og en rimelig pris.pengene er på konto næsten med det samme at den er godkendt.
__label__5 ,super god oplevelse! 
__label__5 ,jeg er meget tilfreds jeg fik alle de hjælp for at at får et lånmange tak.
__label__5 ,jeg har søgt lån et stykke tidda jeg havde rod i min økonomi. men fik nej ved alle. så havde opgivet. da de så tilbød mig et lån på 30.000 kr tænkte jeg. den er god med dem når jeg så svare på det sidste så afviser de mig jo ligesom de andre. men nemid kom op og jeg skrev under. og tænke var det så det. og kort tid efter stod der penge på min konto selvom det var aften. så er fuld tilfreds. nemt hurtigt og penge på kontoen hurtigt. og ingen oprettelse gebyr.
__label__4 ,jeg manglede- konkret - en hurtigere besked påhvordan betalingen skulle foregå
__label__5 ,behagelig og god kundeserviceigennem hele forløbet
__label__5 ,jeg giver jer 5stjerner fordi i er søde og god service!!!i har hjulpet mig med at nå mine mål tak!!
__label__5 ,det virker bare
__label__5 ,fremragende ekspedition men nu venter jeg bare på at lånet bliver givet.
__label__5 ,i holder hvad i lover pengene næsten med detsamme det vil jeg huske til en anden gang
__label__5 ,hurtig behandlingmeget proff.
__label__5 ,jeg giver ferratum bank 5 stjerner fordi de var utroligt hjælpsomme og nærmest guided mig igennem hele processen fra start til slut.så det var en behagelig oplevelse og jeg fik mit lån.
__label__5 ,jeg vil gerne sige rigtig mange tak til ferratum bank det er super nemt og hurtigt og pengene kommer med det samme det er mega luksus jeg giver jer 10 ud af 10 stjerner
__label__5 ,meget hurtig service.jeg anbefaler denne bank
__label__4 ,det går pænt stærkt
__label__5 ,nemt og bekvemt intet mindre end det. hurtig ansøgning og udbetaling.
__label__5 ,fremragende
__label__5 ,god servicemulighed for forklaringen.
__label__5 ,jeg er meget tilfreds med jer og meget hurtige når alt er godkent
__label__5 ,i er fantastiske! jeg havde brug for en “buffer” for ikke at miste mit hus
__label__5 ,en utrolig god oplevelse at være kunde hos jer blev ringet op af den sødeste kvinde som hjalp med svar og gav fantatiske oplysninger om hele banken og dens formåen så en rigtig god dag og oplevelse tak for det ::-)
__label__5 ,fantastisk. er rigtig glad for ferratum.
__label__5 ,fuldtilfreds medhele forløbet bortset fra at skulle vente lidt længe på at komme videre med det sidste der skulle udfyldes.
__label__5 ,sindssygt hurtigt godkendelse og ansøgning
__label__5 ,verdens bedste bankhelt enkelt.
__label__5 ,fik et hurtig svar og havde pengene ind for 2 timer
__label__5 ,er meget tilfreds med den kundeservice jeg fik
__label__5 ,god og hurtig behandling klart 5 stjerner
__label__5 ,i er så fantastik bankjeg har ansøgte lån fra jer og i hjælper mig så hurtigt og muligt. jeg er meget tilfreds med jer.
__label__5 ,dejligevenlige & imødekommende medarbejdereder sidder ved tlf-erne ! svarede efter bedste evne på alle mine mange spørgsmål!
__label__4 ,jeg havde en god oplevelse og er rigtig tilfreds med hjælpen.
__label__5 ,hurtigt trygt og nemt - kan varmt anbefale enhver at bruge ferratum.
__label__5 ,hurtig loan :)
__label__5 ,nemt og hurtigt
__label__5 ,det gå hurtigtmed at få svar
__label__5 ,glad for hjælpenog var dejligt let tak
__label__5 ,100 % seriøs bankingen underlige spørgsmålog hurtig svar 
__label__5 ,stort okhjælper good arbejde
__label__4 ,fint nok pengene kom ind hurtigt;men vilkårene var ikke som jeg troedehar åbentbart misforstået dettevh yvonne hansen
__label__5 ,fedt jeg kunne få lov ville bare ønske nu vvor vi var i gang at jeg måtte låne mere men fedt jeg overhoved fik lov
__label__5 ,kan ikke sige andet at man får en utrolig god behandling hilsen jørgen jørgensen
__label__5 ,nemt og ukompliceret..venlig og god rådgivning
__label__5 ,rigtig god samarbejde og de er virkelig flink til at hjælpe og forklare alt
__label__5 ,lynhurtig ekspedition! - og lånet overført på konto med det samme!kan varmt anbefale !!!
__label__1 ,hejville gerne forhøre hvorfor vi betaler en for høj rente for et kreditudtræk på 7000 kr. når regeringen har sat et lofte på 25 % samt at på jeres hjemmeside reklameres med 24 99 % i rente. renten forventes nedsat med tilbagevirkende kraft.
__label__5 ,kan kun sige positive fuld tilfreds indtil videre
__label__5 ,nemtog ansvarligt.
__label__5 ,først og fremmest af hele mit hjerte 1000 tak for hjælpen bedre lån kan man næsten ikke tænke sig! det hurtigste på markedetnemt sikkert og det er bestemt ikke sidste gang jeg vil bruge jer. af hjertet tak for jerjeg er helt mundlam!
__label__5 ,sagligtnemtmedgørligtoveraskendene godt.
__label__5 ,hurtig afklaring på låneansøgning og hurtig udbetaling
__label__5 ,jeg takker dig for at passe på osnår du er glad for os
__label__5 ,god service og hurtig behandling af ansøgningen og hurtig udbetaling 
__label__5 ,korte af det lange erjeg stod og manglede lidt ekstra penge og ferratum bank var så gode at bevilge mig et låndet tog ikke en time fra at blive godkendt til at pengene stod på min kontomange tak ferratum
__label__4 ,er lige flytte og manglede lidt penge. super nemt og bare iorden
__label__5 ,hurtig og nem ekspedition
__label__5 ,god service hurtig svar
__label__5 ,super hurtig udbetalingnem og overskueligt at ansøge .
__label__5 ,ingen problemerhurtigt udbetaling
__label__5 ,indtil videre meget godt tilfreds hurtigt og nemt.
__label__5 ,glad for jeres hurtige ig gode behandling.
__label__5 ,nemt og hurtigtkan varmt anbefales (:
__label__5 ,. 
__label__5 ,jeg syntes at det var så let og hurtigtdet har jeg aldrig prøvet før
__label__4 ,en vidunderlig portal med en enorm mængde nyttige oplysninger. der er også mange førsteklasses specialisterder er klar til at hjælpe dig med at løse dit spørgsmål gratis og analysere næsten enhver situation.anmeldelse bank
__label__5 ,dejligt nemt at få et hurtigt lånt og meget overskueligt et sted jeg hvertfald gerne anbefaler min familie og venner
__label__5 ,stod akut og skulle bruge nogle penge. prøvede med flere udbyderemen feratum var de eneste der ville hjælpeså derfor topkarakter herfra
__label__5 ,det var en meget behandel måde man var i kontak med super mulighed
__label__5 ,meget godter glad med jer
__label__5 ,super nemt og hurtigtstærkt anbefales fra mig
__label__5 ,nu har jeg lige fået mit lånmen det gik så godtog rigtig god kundeservice 
__label__4 ,nemt og hurtig ekspedition
__label__5 ,fik et bedre tilbud end jeg havde ansøgt om
__label__5 ,fik penge i mine konto i få minutterdet er nemt og hurtigt. tak
__label__5 ,jeg ansøgt sammedag og det bliver godkendte efter 15 min. klart anbefales
__label__5 ,rigtig god tålmodig da jeg skulle hjælpes ang net
__label__5 ,hurtigtnemt og enkelt.
__label__5 ,god service og pengene hurtigt på kontoen
__label__5 ,det gik super hurtigt med at få låner igennem :)
__label__5 ,hurtig bekvemt og skønt
__label__5 ,god betjeninghurtig og nemt
__label__5 ,nemt og hurtigt system og hurtig udbetaling
__label__5 ,nem og enkelt ansøgningog hurtigt svar.kan godt lide at man kan vælge at betale hurtigt tilbagehvis man ønsker detog ikke skal følge et månedligt tilbage betalings beløb.
__label__5 ,megert nemt at låne ved rigtig god service og hurtig svar .
__label__5 ,meget hurtigtsuper super fast flok. og nemt. ville anbefale till alle for at prøve:))
__label__5 ,hurtig behandling effektivt og penge ind med det samme
__label__5 ,det meget nemt og hurtigtat lån penge hos jer. efter min mening vil jeg anbefaler andre for at lån penge hos jer.jeg hermed siger mange tak for lån.med venlig hilsenjoseph.
__label__5 ,hugtigt og nemt
__label__5 ,super go. service . kan godt andbefale.
__label__5 ,jeg blev anbefalet ferratum bank og har været meget tilfreds med tingene.mistede min sidste forælder og haft udlæg til udgifter til regulær traditionel begravelse med gravsted og sten med mere samt noget ekstra til tandlæge. jeg har brug for noget ekstra likviditet medens afventer udbetaling fra boet for udlæg og for salg af hus og her var ferratum en perfekt løsning for mig med god service og oversigt og enkle klare vilkår.annette a. krogh
__label__5 ,superhurtigt og nemt
__label__5 ,super hurtig udbetalinggod service
__label__5 ,utrolig hjælpsom til at guide.høflig.venlig tone
__label__1 ,helt igennem useriøs banksom har lånt min datter 30.000 kr uden på nogen måde at have kreditvurderet hende. hun har ingen indtægtog det har hun ikke haft i flere år. i stedet sidder hun nu med et banklånsom hun ikke kan tilbagebetaleog hvor renten er ca. 25%. det er sørgeligtat banken udnytter de unge menneskers manglende økonomiske erfaring. og så kan man iøvrigt ikke kontakte bankenhverken pr.mail eller telefon (måske fordi de har gemt sig på malta)
__label__5 ,den er så fantastisktusind tak 
__label__5 ,nemt og overskueligt ansøgninghurtigt svar og hurtigt udbetaling selv i weekenden! har manglet lidt til min datters fødselsdag og penge kom indenfor 30 min! fantastisk service!
__label__5 ,tak for lån nu kan jeg få betalt mine sidsteprivate kreditorer ud og komme med til mine forældres sølvbryllup
__label__5 ,rigtig god og hurtig ekspeditionkan anbefaleshvis man står og mangler penge
__label__5 ,hurtig behandling og super serviceminded når man ringer alt i alt en god oplevelse
__label__5 ,god service og nemt at finde rundt i
__label__4 ,god service og flinke mennesker
__label__5 ,jeg er yderst tilfreds. hurtigt og effektivt. dejlig kundeservice
__label__5 ,de gav mig lov til at hvidvaske så mange para det helt smasket jeg helt vildt glad har min nye iphone 13 pro max 512 gb og nu er jeg helt beæret og er super glad jeg helt vildt glad på min mate bike oh yeah #branches4life husk at elsk branco
__label__5 ,er rigtig glad for mit lån og supper service
__label__5 ,hurtig svar og nem ansøgning.
__label__5 ,meget god måde og låne penge på
__label__5 ,hurtig oplysende opringning efter jeg gik i stå under ansøgning
__label__4 ,super hurtigt om nemt
__label__5 ,den hurtigste og bedste løsning for lån penge.
__label__5 ,så dejligt en betjening skal man lede længe efter.
__label__5 ,hurtig og effektiv service online. jeg er godt tilfreds.
